STATE,CD_MUN,NM_MUN,VOTES_PDT_12,VOTES_INCUMBENT,VOTES_PSL_17,VOTES_DC_27,VOTES_PCO_29,VOTES_PRP_44,VOTES_CHALLENGER,VOTES_PSOL_50,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
PI,10049,BAIXA GRANDE DO RIBEIRO,51,2538,1,0,0,9,1474,47,775,5323,4548,70,358
PI,10057,ALTO LONGÁ,113,4813,5,1,0,13,2136,86,1640,9793,8153,127,859
PI,10065,BOM PRINCÍPIO DO PIAUÍ,37,2151,2,1,0,0,1259,33,936,4911,3975,66,426
PI,10073,ALTOS,373,15188,19,9,2,22,4555,313,4196,26512,22316,378,1459
PI,10081,BONFIM DO PIAUÍ,44,2566,4,1,0,2,247,32,687,3904,3217,49,272
PI,10090,AMARANTE,181,7464,7,3,0,10,1735,194,2396,12909,10513,215,704
PI,10103,BURITI DOS MONTES,80,3034,0,0,0,4,793,58,664,5137,4473,65,439
PI,10111,ANGICAL DO PIAUÍ,75,3547,1,5,0,2,876,137,911,5994,5083,81,359
PI,10120,CABECEIRAS DO PIAUÍ,67,4227,5,1,2,7,801,63,1263,7025,5762,86,505
PI,10138,ANÍSIO DE ABREU,64,3679,4,2,0,4,610,49,774,5548,4774,54,308
PI,10146,CALDEIRÃO GRANDE DO PIAUÍ,45,1934,3,1,1,1,1043,17,564,3982,3418,67,307
PI,10154,ANTÔNIO ALMEIDA,25,1068,1,1,0,5,775,32,486,2613,2127,39,181
PI,10162,CANAVIEIRA,21,1226,3,0,1,4,793,16,537,2905,2368,43,262
PI,10170,AROAZES,38,2694,3,1,0,4,614,24,1092,4875,3783,58,347
PI,10189,COIVARAS,50,1870,4,1,0,2,950,61,450,3608,3158,34,186
PI,10197,ARRAIAL,53,1828,4,0,6,2,648,39,653,3544,2891,49,268
PI,10200,COLÔNIA DO GURGUÉIA,25,2583,1,0,0,4,504,29,707,4228,3521,47,328
PI,10219,AVELINO LOPES,63,4207,2,3,0,8,1260,34,1050,7323,6273,152,544
PI,10227,COLÔNIA DO PIAUÍ,49,3387,3,0,0,3,392,25,942,5276,4334,70,405
PI,10235,BARRAS,334,11123,12,2,4,18,6330,370,3888,24540,20652,373,2090
PI,10243,CORONEL JOSÉ DIAS,99,2517,0,1,1,10,603,65,463,4111,3648,74,279
PI,10251,BARREIRAS DO PIAUÍ,24,1424,2,0,0,3,413,31,572,2699,2127,39,191
PI,10260,FARTURA DO PIAUÍ,23,2590,0,1,0,3,363,50,689,3990,3301,34,237
PI,10278,BARRO DURO,72,2607,6,1,0,3,965,91,1078,5266,4188,43,400
PI,10286,JACOBINA DO PIAUÍ,26,2884,3,0,1,4,275,29,624,4134,3510,57,232
PI,10294,BATALHA,168,8048,5,6,1,22,4879,149,3646,18507,14861,262,1322
PI,10308,JARDIM DO MULATO,43,1939,2,3,1,3,498,53,660,3545,2885,71,273
PI,10316,BENEDITINOS,153,4569,5,2,1,9,1158,61,1299,7987,6688,134,597
PI,10324,LAGOA ALEGRE,90,3314,2,2,1,9,1109,34,875,5948,5073,72,441
PI,10332,BERTOLÍNIA,36,1755,1,0,1,7,945,13,648,3793,3145,59,329
PI,10340,LAGOA DO BARRO DO PIAUÍ,33,1892,2,1,0,7,400,23,540,3257,2717,106,253
PI,10359,BOCAINA,49,2346,4,2,1,5,1524,75,510,4879,4369,86,278
